rule_no,age,thallium_stress_test,blood_pressure,cholesterol,chest_pain,effective_training_weight,confidence,c0_intercept,c1_age,c2_thallium,c3_blood_pressure,c4_cholesterol,c5_chest_pain
48,young,fixed_defect,low,high,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
49,young,fixed_defect,medium,low,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
50,young,fixed_defect,medium,low,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
51,young,fixed_defect,medium,low,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
52,young,fixed_defect,medium,low,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
53,young,fixed_defect,medium,medium,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
54,young,fixed_defect,medium,medium,atypical_angina,0.115,low,-0.0,-0.0,0.0,0.0,0.0,0.0
55,young,fixed_defect,medium,medium,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
56,young,fixed_defect,medium,medium,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
57,young,fixed_defect,medium,high,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
58,young,fixed_defect,medium,high,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
59,young,fixed_defect,medium,high,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
60,young,fixed_defect,medium,high,asymptomatic,0.1312,low,0.49999995334459624,-1.5260889334230453e-10,3.453451422859459e-10,1.2659250971079514e-11,2.3623815313022253e-11,9.33627906373227e-10
61,young,fixed_defect,high,low,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
62,young,fixed_defect,high,low,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
63,young,fixed_defect,high,low,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
64,young,fixed_defect,high,low,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
65,young,fixed_defect,high,medium,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
66,young,fixed_defect,high,medium,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
67,young,fixed_defect,high,medium,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
68,young,fixed_defect,high,medium,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
69,young,fixed_defect,high,high,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
70,young,fixed_defect,high,high,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
71,young,fixed_defect,high,high,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
72,young,fixed_defect,high,high,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
73,young,reversible_defect,low,low,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
74,young,reversible_defect,low,low,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
75,young,reversible_defect,low,low,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
76,young,reversible_defect,low,low,asymptomatic,0.11,low,0.7499999490806528,-2.6533478572818e-10,9.230177055833302e-10,-1.0520863754198355e-10,-4.274858301351433e-11,1.4004418280854537e-09
77,young,reversible_defect,low,medium,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
78,young,reversible_defect,low,medium,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
79,young,reversible_defect,low,medium,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
80,young,reversible_defect,low,medium,asymptomatic,0.0517,low,-0.0,-0.0,0.0,0.0,0.0,0.0
81,young,reversible_defect,low,high,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
82,young,reversible_defect,low,high,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
83,young,reversible_defect,low,high,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
84,young,reversible_defect,low,high,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
85,young,reversible_defect,medium,low,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
86,young,reversible_defect,medium,low,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
87,young,reversible_defect,medium,low,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
88,young,reversible_defect,medium,low,asymptomatic,0.0133,low,0.24999981667521784,-1.1879605976658167e-10,3.076723664421199e-10,-1.9146775096423645e-11,-8.790707788061935e-12,4.668136358097518e-10
89,young,reversible_defect,medium,medium,typical_angina,0.1692,low,0.9999999642180343,-4.023416611657815e-10,1.2306903105365982e-09,-7.65871529254652e-11,-1.1918871984390371e-11,-4.7134613117709195e-09
90,young,reversible_defect,medium,medium,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
91,young,reversible_defect,medium,medium,non_anginal,0.05,low,-0.0,0.0,-0.0,0.0,0.0,0.0
92,young,reversible_defect,medium,medium,asymptomatic,0.189,low,0.24999998995831116,-1.0794667518604763e-10,3.076725819791742e-10,-1.4877927729582445e-11,-6.862988696288354e-12,4.668139621362275e-10
93,young,reversible_defect,medium,high,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
94,young,reversible_defect,medium,high,atypical_angina,0.0096,low,-0.0,0.0,0.0,0.0,0.0,0.0
95,young,reversible_defect,medium,high,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
96,young,reversible_defect,medium,high,asymptomatic,0.2905,low,0.2499999910428287,-1.1680678545989002e-10,3.0767258666684537e-10,-9.201763984784397e-12,5.748435021043424e-12,4.668139704069518e-10
97,young,reversible_defect,high,low,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
98,young,reversible_defect,high,low,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
99,young,reversible_defect,high,low,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
100,young,reversible_defect,high,low,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
101,young,reversible_defect,high,medium,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
102,young,reversible_defect,high,medium,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
103,young,reversible_defect,high,medium,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
104,young,reversible_defect,high,medium,asymptomatic,0.185,low,0.24999998214742578,-8.844493236410466e-11,3.0767258143903076e-10,3.180603970535621e-11,-4.388444308276602e-12,4.668139616259038e-10
105,young,reversible_defect,high,high,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
106,young,reversible_defect,high,high,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
107,young,reversible_defect,high,high,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
108,young,reversible_defect,high,high,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
109,middle_aged,normal,low,low,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
110,middle_aged,normal,low,low,atypical_angina,0.2253,low,-0.0,0.0,0.0,0.0,-0.0,0.0
111,middle_aged,normal,low,low,non_anginal,0.6237,low,0.021376567627714296,9.131849702500139e-05,-3.612803565891155e-11,0.00011382183005236683,-1.0127979764619855e-05,-1.2685948570974858e-11
112,middle_aged,normal,low,low,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
113,middle_aged,normal,low,medium,typical_angina,0.0258,low,-0.0,0.0,0.0,0.0,0.0,0.0
114,middle_aged,normal,low,medium,atypical_angina,0.465,low,-0.0,0.0,0.0,-0.0,0.0,0.0
115,middle_aged,normal,low,medium,non_anginal,0.6713,low,0.06979167522661618,-0.00020066596666025902,-7.119132715604594e-11,9.171077669709778e-06,6.67734373030968e-05,-2.4998024302608263e-11
116,middle_aged,normal,low,medium,asymptomatic,1.1387,low,0.07617099332770874,0.002461511980007526,-2.1524506974485866e-10,0.0002477624323290095,-4.674422711889733e-05,4.324904637337775e-10
117,middle_aged,normal,low,high,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
118,middle_aged,normal,low,high,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
119,middle_aged,normal,low,high,non_anginal,0.5365,low,0.01661897819021881,-8.142193954271597e-05,-8.636767989342893e-12,6.456918081266834e-06,-1.5063203565617824e-05,-3.0327028334227555e-12
120,middle_aged,normal,low,high,asymptomatic,0.6904,low,0.14374526150903663,1.7637995819569086e-05,-1.6029643031066502e-10,9.55344449727977e-05,6.118497674325361e-05,3.2208253551911e-10
121,middle_aged,normal,medium,low,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
122,middle_aged,normal,medium,low,atypical_angina,0.232,low,-0.0,0.0,0.0,0.0,-0.0,0.0
123,middle_aged,normal,medium,low,non_anginal,0.9193,low,0.1593377967525741,0.0005171659545826426,-9.893237625348584e-11,-0.00042403352535937475,-0.00010131768692921279,-3.473897814512015e-11
124,middle_aged,normal,medium,low,asymptomatic,0.1424,low,0.7560036427035152,0.00014316762869460653,-7.141842175943773e-10,0.00013609455652387206,-5.354059806144344e-05,1.4350054984271219e-09
125,middle_aged,normal,medium,medium,typical_angina,0.9082,low,-0.02319107211996571,0.0016151849665483856,-1.2386686118791742e-10,0.00040582322735250713,5.953653555218594e-05,-6.2825300528477e-10
126,middle_aged,normal,medium,medium,atypical_angina,3.0375,high,-0.04028329924736923,0.0008097024407696997,-2.8434309876488443e-11,7.176404552920096e-05,6.94584239582968e-05,-7.710163554167613e-11
127,middle_aged,normal,medium,medium,non_anginal,3.1225,high,-0.005312914965530964,0.00013028424179704619,-2.1988190632666946e-12,3.111601992669601e-05,-1.4273618703080388e-05,-7.720903402124012e-13
128,middle_aged,normal,medium,medium,asymptomatic,1.7077,low,0.02598649768472149,0.0007101229224639608,-3.378806059529333e-11,-0.00028064132106793996,3.497785292983671e-05,6.789012084246674e-11
129,middle_aged,normal,medium,high,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
130,middle_aged,normal,medium,high,atypical_angina,2.6194,low,-0.33329113037615915,0.004233730612516929,-9.431515138648133e-11,0.000931603627318404,0.0003257082852270179,-2.557421866612064e-10
131,middle_aged,normal,medium,high,non_anginal,2.8537,low,-0.02201248050998486,0.0002452210525485791,-3.1022595541123295e-12,5.189982545683598e-05,2.063912843268077e-05,-1.089323155400749e-12
132,middle_aged,normal,medium,high,asymptomatic,1.9966,low,0.18711281268474006,0.0011804950995182167,-1.5182093926547563e-10,-0.0005852549530443307,-4.394534975519376e-05,3.0505278799751523e-10
133,middle_aged,normal,high,low,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
134,middle_aged,normal,high,low,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
135,middle_aged,normal,high,low,non_anginal,0.0337,low,-0.0,0.0,0.0,0.0,0.0,0.0
136,middle_aged,normal,high,low,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
137,middle_aged,normal,high,medium,typical_angina,0.0833,low,-0.0,0.0,0.0,0.0,0.0,0.0
138,middle_aged,normal,high,medium,atypical_angina,0.2613,low,0.24999998681178767,1.4749183569714108e-11,-2.3232745130810407e-10,3.499059211727331e-11,-2.803627306369202e-12,-6.299722533357681e-10
139,middle_aged,normal,high,medium,non_anginal,0.7075,low,0.1574315728653907,-0.00085536082689093,-9.17552343477201e-11,-0.0002202753541491925,6.882138821964953e-05,-3.221880657600827e-11
140,middle_aged,normal,high,medium,asymptomatic,0.211,low,0.10039925138940053,0.000503917146178619,-1.3440641889200137e-10,0.0001261297428061685,3.225730999367295e-07,2.7006190550243644e-10
141,middle_aged,normal,high,high,typical_angina,0.2904,low,0.12540698439478637,4.302943452310135e-05,-1.2969641955622551e-10,0.00011286983431299203,-1.2482340307437046e-05,-6.578205375954865e-10
142,middle_aged,normal,high,high,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
143,middle_aged,normal,high,high,non_anginal,0.005,low,0.0,0.0,0.0,-0.0,0.0,0.0
144,middle_aged,normal,high,high,asymptomatic,0.7836,low,0.26452700602706647,-0.000472764221557619,-3.1488488680426967e-10,0.0005464810228092674,0.00011277826491754225,6.326960652418664e-10
145,middle_aged,fixed_defect,low,low,typical_angina,0.0243,low,-0.0,0.0,0.0,0.0,0.0,0.0
146,middle_aged,fixed_defect,low,low,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
147,middle_aged,fixed_defect,low,low,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
148,middle_aged,fixed_defect,low,low,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
149,middle_aged,fixed_defect,low,medium,typical_angina,0.013,low,-0.0,0.0,0.0,0.0,0.0,0.0
150,middle_aged,fixed_defect,low,medium,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
151,middle_aged,fixed_defect,low,medium,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
152,middle_aged,fixed_defect,low,medium,asymptomatic,0.14,low,-0.0,0.0,0.0,0.0,0.0,0.0
153,middle_aged,fixed_defect,low,high,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
154,middle_aged,fixed_defect,low,high,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
155,middle_aged,fixed_defect,low,high,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
156,middle_aged,fixed_defect,low,high,asymptomatic,0.1365,low,0.9999999076873541,8.327770021320367e-11,6.906902878685462e-10,-1.1480177349041157e-10,4.936072027272888e-11,1.8672558230885125e-09
157,middle_aged,fixed_defect,medium,low,typical_angina,0.0971,low,-0.0,0.0,0.0,0.0,0.0,0.0
158,middle_aged,fixed_defect,medium,low,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
159,middle_aged,fixed_defect,medium,low,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
160,middle_aged,fixed_defect,medium,low,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
161,middle_aged,fixed_defect,medium,medium,typical_angina,0.0745,low,-0.0,0.0,0.0,0.0,0.0,0.0
162,middle_aged,fixed_defect,medium,medium,atypical_angina,0.1725,low,-0.0,-0.0,0.0,0.0,0.0,0.0
163,middle_aged,fixed_defect,medium,medium,non_anginal,0.4652,low,0.3451763500664801,0.0005220259180210105,0.002670755729428665,-3.325801165613554e-05,2.285477600813316e-05,-1.264630859039386e-10
164,middle_aged,fixed_defect,medium,medium,asymptomatic,0.0864,low,0.5579151777391608,0.00016312548115273476,0.00038267220576137286,6.061802402006222e-05,3.1547053372913245e-06,1.0781699458888245e-09
165,middle_aged,fixed_defect,medium,high,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
166,middle_aged,fixed_defect,medium,high,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
167,middle_aged,fixed_defect,medium,high,non_anginal,0.12,low,0.49999995588860074,1.7357882051103813e-11,3.453451423048156e-10,-6.448059234709598e-12,2.845103124736025e-12,-1.6315827514919666e-10
168,middle_aged,fixed_defect,medium,high,asymptomatic,0.3972,low,0.6143477620533624,0.0012792241688003524,4.316582229412223e-10,-0.00046138312759636267,6.957936374338106e-06,1.1669721574455085e-09
169,middle_aged,fixed_defect,high,low,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
170,middle_aged,fixed_defect,high,low,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
171,middle_aged,fixed_defect,high,low,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
172,middle_aged,fixed_defect,high,low,asymptomatic,0.1792,low,0.7499999263155785,8.066900225170872e-11,5.180177209263438e-10,1.527400505804613e-10,-3.799413353633749e-11,1.4004418794835786e-09
173,middle_aged,fixed_defect,high,medium,typical_angina,0.0225,low,-0.0,0.0,0.0,0.0,0.0,0.0
174,middle_aged,fixed_defect,high,medium,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
175,middle_aged,fixed_defect,high,medium,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
176,middle_aged,fixed_defect,high,medium,asymptomatic,0.3536,low,0.531915678555022,9.28690887291762e-05,3.6063412336838913e-10,-0.00010150127631204244,-5.837062278035738e-06,9.749611093944328e-10
177,middle_aged,fixed_defect,high,high,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
178,middle_aged,fixed_defect,high,high,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
179,middle_aged,fixed_defect,high,high,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
180,middle_aged,fixed_defect,high,high,asymptomatic,0.12,low,0.24999996976480543,1.4749182932345513e-11,1.7267257038964349e-10,2.8621487326113927e-11,4.944367172467209e-12,4.668139519442318e-10
181,middle_aged,reversible_defect,low,low,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
182,middle_aged,reversible_defect,low,low,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
183,middle_aged,reversible_defect,low,low,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
184,middle_aged,reversible_defect,low,low,asymptomatic,0.11,low,0.7499999490806528,-2.6533478572818e-10,9.230177055833302e-10,-1.0520863754198355e-10,-4.274858301351433e-11,1.4004418280854537e-09
185,middle_aged,reversible_defect,low,medium,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
186,middle_aged,reversible_defect,low,medium,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
187,middle_aged,reversible_defect,low,medium,non_anginal,0.854,low,-0.019435047010984446,0.0014163364744337163,2.475330512215044e-10,0.0010930259557353733,-4.1457820792531215e-06,-6.56331897720594e-11
188,middle_aged,reversible_defect,low,medium,asymptomatic,1.1585,low,0.14667175908852736,0.0027701871767001436,3.718172169804938e-10,-0.0002205484360981737,0.00013470850272220077,5.641369278804162e-10
189,middle_aged,reversible_defect,low,high,typical_angina,0.1,low,0.24999997974907034,-5.809371883937433e-11,3.076725653896462e-10,-3.506954544263332e-11,2.8312777218316163e-12,-1.1783652808371564e-09
190,middle_aged,reversible_defect,low,high,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
191,middle_aged,reversible_defect,low,high,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
192,middle_aged,reversible_defect,low,high,asymptomatic,0.2524,low,0.499999967907051,2.9498366984891096e-11,6.153451726650064e-10,-7.013909578014737e-11,3.0667447697939874e-11,9.33627937037601e-10
193,middle_aged,reversible_defect,medium,low,typical_angina,0.042,low,-0.0,0.0,0.0,0.0,0.0,0.0
194,middle_aged,reversible_defect,medium,low,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
195,middle_aged,reversible_defect,medium,low,non_anginal,0.112,low,0.7499999451232419,-1.0143825744502165e-10,9.230177161040665e-10,-5.7440363777074076e-11,-3.165486445613833e-11,-2.4473740963731073e-10
196,middle_aged,reversible_defect,medium,low,asymptomatic,0.528,low,0.6763934927546187,-9.128707066858473e-06,7.947966855423375e-10,-2.113532672502949e-05,-0.00011008038836129967,1.2058994390040976e-09
197,middle_aged,reversible_defect,medium,medium,typical_angina,0.17,low,0.4887074840176516,-0.0017525814100972017,5.164936993366281e-10,-3.2141946339533424e-11,0.00010732968315813339,-1.9781362108905495e-09
198,middle_aged,reversible_defect,medium,medium,atypical_angina,0.935,low,-0.0,0.0,0.0,0.0,0.0,0.0
199,middle_aged,reversible_defect,medium,medium,non_anginal,1.1178,low,0.3457235693915399,-0.0001471625513784327,3.056864064764591e-10,-0.0003631835250960828,-0.00016681704107921505,-8.105250542441643e-11
200,middle_aged,reversible_defect,medium,medium,asymptomatic,3.4287,high,0.6997106498504465,-0.0014281593246451107,4.904960557405068e-10,-0.001122048774335443,-0.0003028533378215934,7.442014058051148e-10
201,middle_aged,reversible_defect,medium,high,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
202,middle_aged,reversible_defect,medium,high,atypical_angina,0.1842,low,0.11180314468294808,0.0003551589909035551,1.656211234461784e-10,2.866497999665596e-05,-1.5850381676500408e-06,-3.3911604956217283e-10
203,middle_aged,reversible_defect,medium,high,non_anginal,0.2135,low,0.16355733754385027,0.00027958456162606004,2.2665325661805943e-10,5.1359749538978336e-05,-5.75799926161252e-06,-6.009692974263608e-11
204,middle_aged,reversible_defect,medium,high,asymptomatic,4.1667,high,0.48535974158734646,-0.0008270268406485754,6.613693164000465e-10,0.00011798181029155463,0.0003291029883780252,1.0034575786566185e-09
205,middle_aged,reversible_defect,high,low,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
206,middle_aged,reversible_defect,high,low,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
207,middle_aged,reversible_defect,high,low,non_anginal,0.1387,low,-0.0,0.0,0.0,0.0,0.0,0.0
208,middle_aged,reversible_defect,high,low,asymptomatic,0.144,low,0.7499999133545462,1.3530117868132523e-10,9.230177276374143e-10,1.3363273779291158e-10,-4.4333400993958e-11,1.4004418636382362e-09
209,middle_aged,reversible_defect,high,medium,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
210,middle_aged,reversible_defect,high,medium,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
211,middle_aged,reversible_defect,high,medium,non_anginal,0.2567,low,0.0,0.0,-0.0,-0.0,0.0,0.0
212,middle_aged,reversible_defect,high,medium,asymptomatic,0.7598,low,0.469183058183114,0.00021418883823449064,6.461950883769648e-10,0.00012429055429055642,0.00011207698071272101,9.804347356759062e-10
213,middle_aged,reversible_defect,high,high,typical_angina,0.482,low,-0.0,0.0,0.0,0.0,0.0,0.0
214,middle_aged,reversible_defect,high,high,atypical_angina,0.1839,low,0.249999965618571,-3.461542948429293e-12,3.076725762989264e-10,9.549707319551111e-11,6.1770026686710674e-12,-6.299722296110375e-10
215,middle_aged,reversible_defect,high,high,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
216,middle_aged,reversible_defect,high,high,asymptomatic,1.4074,low,0.998804996814068,-0.0007137298583899229,1.044400582973764e-09,-0.00048622422326609046,-0.00018970970856065615,1.5846090961333305e-09
